ANO_MES,COMARCA,SERVENTIA,previsao_novos_casos
2025-01,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2025-02,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,1
2025-03,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2025-04,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2025-05,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,2
2025-06,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,3
2025-07,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,4
2025-08,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,4
2025-09,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,4
2025-10,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,4
2025-11,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,4
2025-12,ABADIÂNIA,Abadiânia - Execução Penal/EXECPENWEB,4
2025-01,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,13
2025-02,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,15
2025-03,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,15
2025-04,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-05,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-06,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-07,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-08,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-09,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-10,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-11,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-12,ABADIÂNIA,Abadiânia - Juizado Especial Criminal,14
2025-01,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-02,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-03,ABADIÂNIA,Abadiânia - Juizado Especial Cível,15
2025-04,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-05,ABADIÂNIA,Abadiânia - Juizado Especial Cível,15
2025-06,ABADIÂNIA,Abadiânia - Juizado Especial Cível,15
2025-07,ABADIÂNIA,Abadiânia - Juizado Especial Cível,15
2025-08,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-09,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-10,ABADIÂNIA,Abadiânia - Juizado Especial Cível,15
2025-11,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-12,ABADIÂNIA,Abadiânia - Juizado Especial Cível,14
2025-01,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,1
2025-02,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,2
2025-03,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,2
2025-04,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,3
2025-05,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,3
2025-06,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,3
2025-07,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,4
2025-08,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,4
2025-09,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,4
2025-10,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,4
2025-11,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,5
2025-12,ABADIÂNIA,Abadiânia - Juizado das Fazendas Públicas,5
2025-01,ABADIÂNIA,Abadiânia - Vara Criminal,20
2025-02,ABADIÂNIA,Abadiânia - Vara Criminal,21
2025-03,ABADIÂNIA,Abadiânia - Vara Criminal,22
2025-04,ABADIÂNIA,Abadiânia - Vara Criminal,22
2025-05,ABADIÂNIA,Abadiânia - Vara Criminal,22
2025-06,ABADIÂNIA,Abadiânia - Vara Criminal,23
2025-07,ABADIÂNIA,Abadiânia - Vara Criminal,23
2025-08,ABADIÂNIA,Abadiânia - Vara Criminal,23
2025-09,ABADIÂNIA,Abadiânia - Vara Criminal,23
2025-10,ABADIÂNIA,Abadiânia - Vara Criminal,23
2025-11,ABADIÂNIA,Abadiânia - Vara Criminal,22
2025-12,ABADIÂNIA,Abadiânia - Vara Criminal,20
2025-01,ABADIÂNIA,Abadiânia - Vara Cível,12
2025-02,ABADIÂNIA,Abadiânia - Vara Cível,13
2025-03,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-04,ABADIÂNIA,Abadiânia - Vara Cível,13
2025-05,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-06,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-07,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-08,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-09,ABADIÂNIA,Abadiânia - Vara Cível,15
2025-10,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-11,ABADIÂNIA,Abadiânia - Vara Cível,14
2025-12,ABADIÂNIA,Abadiânia - Vara Cível,13
2025-01,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,1
2025-02,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,2
2025-03,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,2
2025-04,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,3
2025-05,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,3
2025-06,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,3
2025-07,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2025-08,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2025-09,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2025-10,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,4
2025-11,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,5
2025-12,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Cível,5
2025-01,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,1
2025-01,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,1
2025-02,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2025-02,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2025-03,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2025-03,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,2
2025-04,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2025-04,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2025-05,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-05,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,3
2025-06,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-06,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-07,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-07,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-08,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,5
2025-08,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-09,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,5
2025-09,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-10,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,5
2025-10,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-11,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,5
2025-11,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-12,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,5
2025-12,ABADIÂNIA,Abadiânia - Vara da Infância e Juventude Infracional,4
2025-01,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,4
2025-02,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,5
2025-03,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,5
2025-04,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,5
2025-05,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,6
2025-06,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,6
2025-07,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,6
2025-08,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2025-09,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2025-10,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2025-11,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2025-12,ABADIÂNIA,Abadiânia - Vara das Fazendas Públicas,7
2025-01,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,9
2025-02,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,10
2025-03,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-04,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-05,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-06,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-07,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-08,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-09,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-10,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-11,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-12,ABADIÂNIA,Abadiânia - Vara de Família e Sucessões,11
2025-01,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2025-02,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,1
2025-03,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2025-04,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,2
2025-05,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,3
2025-06,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,3
2025-07,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,4
2025-08,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,4
2025-09,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,4
2025-10,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,5
2025-11,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,5
2025-12,ACREÚNA,Acreúna - Execução Penal/EXECPENWEB,6
2025-01,ACREÚNA,Acreúna - Juizado Especial Criminal,10
2025-02,ACREÚNA,Acreúna - Juizado Especial Criminal,10
2025-03,ACREÚNA,Acreúna - Juizado Especial Criminal,10
2025-04,ACREÚNA,Acreúna - Juizado Especial Criminal,10
